qid,label_a,label_b,reason_a,reason_b,question,golds,adjudicated,class
3312,wrong_gold,wrong_gold,"The passages identify[passage text redacted]America as[passage text redacted](New Jersey) or[passage text redacted]not a mall in Aventura, Florida, so the recorded gold is factually incorrect.","The gold points to Aventura, Florida, but[passage text redacted][passage text redacted]US mall is the[passage text redacted] (per the passages), and the question's measure is undefined enough that the Florida answer doesn't hold.",where is the second largest mall in america,"[""Florida"", ""Aventura, Florida""]",ineligible,wrong_gold
3317,eligible,eligible,"The passage explicitly identifies[passage text redacted]as the British punk poet who incorporated poetry into music, matching the gold answer.","The passage explicitly identifies[passage text redacted]as the British punk poet who incorporated poetry into his recorded music, matching the gold answer.",known as the punk poet who used poetry in their music,"[""John Cooper Clarke""]",eligible,eligible
3320,unanswerable,unanswerable,"The passages mention Neil Jenkins only as an overall international points record, but do not provide specific data on points scored in Wales v France matches to verify he is the top scorer in that particular fixture.","The question asks specifically about most points scored in Wales vs France fixtures, and while Neil Jenkins is plausible, the passages only mention him as an all-time international points leader and never address points in Wales–France matches.",who has scored the most points for wales v france,"[""Neil Jenkins""]",ineligible,unanswerable
3323,eligible,eligible,"The passages confirm George Merrill and Shannon Rubicam wrote the song, matching the recorded gold answers.","The question clearly refers to Whitney Houston's[passage text redacted],"" and the passages confirm it was written by the Boy Meets Girl duo of George Merrill and Shannon Rubicam, matching the gold answers.",who wrote i want to dance with somebody by whitney houston,"[""George Merrill"", ""Shannon Rubicam"", ""George Merrill and Shannon Rubicam""]",eligible,eligible
3325,unanswerable,unanswerable,"None of the provided passages mention the show 'Dil Sambhal Ja Zara' or a character named Ahana, so the gold cannot be verified from this corpus.","The question about the actress playing Ahana in the TV show Dil Sambhal Ja Zara is specific and the gold appears sound, but none of the provided passages mention that show or the actress at all.",ahana from dil sambhal ja zara real name,"[""Smriti Kalra""]",ineligible,unanswerable
3345,eligible,eligible,"The passages confirm[passage text redacted]native to and associated with[passage text redacted], supporting the gold answer.","The question asks abou[passage text redacted]'s origin/native range, and the passages indicate it is native to the Indo-Pacific ([passage text redacted]native to the reef), matching the recorded gold.",where did the crown of thorns starfish come from,"[""Indo-Pacific""]",eligible,eligible
3348,eligible,eligible,"The question clearly asks about[passage text redacted]location, and the passages confirm Russia hosted it, matching the gold answer.","The question specifies the 2018 World Cup, and the passages clearly confirm Russia as the host country, matching the gold answer.",where is the world cup being held 2018,"[""Russia""]",eligible,eligible
3362,stale_gold,stale_gold,"The passage indicates the 2026 completion target has since[passage text redacted]COVID-19, with full completion now uncertain (possibly 2040), making the recorded gold outdated relative to the newer information in the passages.","The passages report that the 2026 target has been pushed back due to the pandemic, with some parts not expected until 2040, so a correct answer from these sources would not match the recorded 2026-era golds.",when will the la sagrada familia be finished,"[""by 2026"", ""2026"", ""2026\u20132028""]",ineligible,stale_gold
3363,unanswerable,wrong_gold,The passages confirm [passage text redacted]songs for[passage text redacted] generally but never specifically mention ,"The song ""From Now On"" was written by Benj Pasek and Justin Paul; Joseph Trapanese and John Debney composed the film's score, so those two listed golds answer a different question and are incorrect for the song's writers.",who wrote from now on from the greatest showman,"[""Joseph Trapanese"", ""John Debney"", ""Benj Pasek and Justin Paul""]",ineligible,ineligible_class_disputed
3368,wrong_gold,wrong_gold,"The question asks about[passage text redacted]but the passages and gold answer actually refer to Russia joining the G7/G8 political forum in 1997, which is a different entity from[passage text redacted](Davos).","The question asks about[passage text redacted](a Davos-based organization that states don't 'join' in this sense), while the gold of 1997 actually answers when[passage text redacted]7/G8 political forum, a different entity.",when did russia join the world economic forum,"[""1997""]",ineligible,wrong_gold
3386,eligible,eligible,"All seven listed actors (Langenkamp, Blakley, Corri, Depp, Saxon, Englund, Wyss) are confirmed by the passages as[passage text redacted]1984[passage text redacted], matching the well-formed question.","The question specifies the 1984 original film and the gold list matches its main cast, with the passages naming Langenkamp, Wyss, Corri, Saxon, Blakley and Englund (Johnny Depp being the only unlisted but well-known member), so the item is fair.",cast of a nightmare on elm street 1984,"[""Heather Langenkamp"", ""Ronee Blakley"", ""Nick Corri"", ""Johnny Depp"", ""John Saxon"", ""Robert Englund"", ""Amanda Wyss""]",eligible,eligible
3417,ambiguous,ambiguous,"The passages describe multiple conflicting endings for Betty across the Riverdale TV series (ending up with Jughead, then a fling with Archie) and even reference a separate crossover comic and animated film, so the question doesn't clearly specify which storyline or point in the series is meant.","The question doesn't specify a time point in the series, and the passages show Betty dating Jughead for much of the show while later having a fling with Archie, so no single ""ends up with"" answer is determined.",who does betty end up with on riverdale,"[""Archie Andrews""]",ineligible,ambiguous
3419,eligible,eligible,"The passage directly states[passage text redacted], matching the recorded gold answers.","The passage directly states that the weekly Tam-Tams gathering begins around 10:30am, matching the recorded gold, and the question is specific enough to be answered.",what time do tam tams start in montreal,"[""around 10:30am"", ""10:30am""]",eligible,eligible
